"iso","units","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"ita","mass","347.8","376.5","375","403.6","461.8","475.3","479.7","513.6","550.4","594.5","624.9","691.8","694.3","673.3","748","737","817.3","1070","1123.5","1028.5","982.1","1027.7","1038.8","1037.6","1065.4","1056","1076.1","987","827","857","906","909","918","882","875","876","855","845","868","828","819","789","753","685","641","701","708","609","592","572","568","585","594"
"jpn","mass","695.2","697.3","757.2","735","787","852.7","899.9","755.2","739.7","688.2","674.2","732.8","871.2","704.9","650.1","736.1","716.1","722.9","776.9","614","643","683","701","697.2","680","693","669","640","641","612","576","572","600","580.4","527.5","511.7","495.2","476","479.5","487.4","484","480","477","474.6","471.2","469.4","444","420","350.5","405","351.6","372.5","367.999987795949"
"jor","mass","0.4","0.6","1","1.4","1.8","0.6","2","2.1","1.5","1.4","1.4","1.5","1.8","2","1.9","4","1.4","3.2","6.2","5","2.9","7.1","8.8","7","10.7","6.1","7.3","14.2","12","8","14.8","9.7","6.3","4","6","5","10.9","14.8","13","9.4","10","10.6","10.9","4.7","10.7","4.6","6.5","7.8","8.2","10.2","10.2","10.5","11"
"ken","mass","3.5","3.5","7.3","10.3","13","11.8","13","10.8","16","22","18.5","23.4","20.3","19.4","21.9","22.5","25.2","25.4","20.1","22.7","27","27.7","30","34.7","48.5","46.2","47.8","57.6","49.3","49.1","52.4","47.8","42.1","52","33","63","51","53","54.2","72.7","81.9","56.1","67.6","81.7","81.2","84.9","80","76","85","101.3","107.199998475611","90.2000007927418","109.399999856949"
"kor","mass","72.0824455624957","74","83","92","105","121","130","132","152","205","216.6","224.9","244","251.9","264","385.8","442.8","535","540","550","564.1","564.1","582.8","597","623","605","602","634","644","655.4","659","652.5","636","300","84","72.4","149.3","128.3","152","165","171.1","154.2","154.2","170.8","159.7","170","175","160.6","160.5","180.9","180","185","191.299999833107"
"kor","mass","216.9","200","199.3","173.2","201.2","239.7","277.6","285.9","320.1","355.6","370","372.6","411.3","449.4","480.5","369.9","387.9","446.6","443.8","447.3","431.9","308.6","367.4","401.8","426.1","435.4","448.9","460.1","505.7","505.4","473.5","486.6","477.3","475","478","456","507","451","428.3","411.5","375","340.7","365.3","386.7","354","267.7","325.5","301.7","290","280","271","270","270"
"lbn","mass","7.9","5.9","10","11","10","11.5","12.5","13.4","16","19","29","33","38.6","19.1","7","17.7","13.7","14.4","16","14","16.9","21.3","17","17","11.9","10.6","10","11.3","14","11","12.4","14.2","18","10","25","22","22","23.4","22","24.2","30","22.1","27.8","27.3","10.2","12.7","14.9","10.8","27.9","20.8","19.9","24.8000003099442","26.0999999046326"
"lby","mass","1.4","3.5","1.6","1.5","1.7","2.7","3.4","4.1","3.3","4.5","8","7","7","10.1","15","13.1","16.7","13.8","22.5","29.5","30.5","35.2","33.9","31.9","27.8","31.7","37.8","30.6","30","35","35","26.7","34.6","24.4","30","16.6","27.5","30","43.6","30.5","39.8","30.8","23.8","29.6","32","32","32","32","32","32","31.9","32.3999999761581","31.1999999880791"
"mys","mass","25.7","26.5","23.8","31.2","39.5","43.5","41.5","42.5","54.6","60.8","72.1","76.8","113.1","69.9","78.6","84","96","109.5","135.7","139.4","128.7","138.1","161","216","215","198.9","208.6","237.1","273.1","262.1","254.7","294.9","301","287","286","255","344","417","362.4","359.3","339","363.2","385","549.5","499.2","542","567.8","531.7","602","542","560","600","600"
"mus","mass","9.6","10.8","10.8","9.6","9.1","8.7","9.5","9.2","9.2","8.9","9.2","13.9","11.2","8.7","10","8.8","12.1","10.8","9.8","10.2","9.5","9.8","10.7","10.7","11","9.9","12.7","10.9","11.6","11.2","11.2","11.2","9.9","11.8","12.4","13.1","11.8","12.4","13.4","16.8","11.6","10.4","8.4","13.6","14","14.4","14.4","14.2","14.5","14.5","14.9","11","11"
