iso,X1850,X1855,X1860,X1865,X1870,X1875,X1880,X1885,X1890,X1895,X1900,X1905,X1910,X1915,X1920,X1925,X1930,X1935,X1940,X1945,X1950,X1955,X1960,X1965,X1970,X1975,X1980,X1985,X1990,X1995,X2000,X2005,X2010
tkm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,NA,NA,NA,NA
tto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,93.8,75,53.3,44.1,46,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
tun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,12.55,14.6,12.6,19.6,30.8,163,36,34,31,29,53,21,21,15,NA,NA,NA,NA
tur,NA,NA,NA,56.7,59.5,131.9,52,73.4,138.4,140.3,390.2,577.8,709.8,390.1,528.6,892.5,1486.3,2210.5,2008,2606.8,3578.9,4686,5280,7475,7639,15636,20187,41265,54193,61017,79930,76576,95030
twn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,295,428,577.5,1334.5,1860,1794.5,1880.3,3148.5,962.8,1340,2225,3702,5050,4786,3322,5929,11080,17040,25315,44710,58790,61596
tza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,6,2,2,3,1,1,19,4,39,79,75,105
ukr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145172,86689,64648,60248,65802
ury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.9,136.5,83.1,44,128.1,92,76,47,37,37,4,2.5,1,1,1,1,4
usa,7460.5,14383.3,17803.2,21786.3,36399.5,49873.4,70973.1,98116.6,140316.2,170507.7,236155.3,351592.1,444555.1,464315.1,558699.3,511053.2,471147.3,372725.3,442553.6,537644.2,481949,396115,430402.4,507746,555472.9,580285.8,688238.7,770347.8,848083.9,895959,1001317.3,1044898.5,974919.7
ussr,43.5,129.7,251,331.7,1432,2506.1,4641.9,5409.3,6797.5,9883.7,18062.8,19782.1,26233,27991.8,7681.4,14574.3,39144,92168.8,146341.5,132998.5,268789,395610,482585,529467,560093,628616,NA,NA,NA,NA,NA,NA,NA
uzb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8940,2956,3462,3154,3393
ven,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,24,64,9,1,5,7,2,32,35,41,69,67,42,42,355,7,181,51,273
vir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vnm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2747,4590,4052,4990,3951,5917,7808,14812,26150
yug,NA,NA,NA,NA,NA,NA,1,23,66,272.4,544.6,719.5,979.5,1934.05,2888.6,4679.9,5815.7,4777.9,7288.6,3587.8,12827,16091,24012.9,31089.2,26389.7,37573,44160,71156,NA,NA,NA,NA,NA
zaf,NA,NA,NA,NA,NA,NA,NA,14.2,111.6,1258.6,877.7,6179.1,8739.7,9183.1,11642.2,12693.7,12225.7,13002.5,16533.9,21606.4,26473,32147,38173,48460,54612,69440,80301,88390,97330,104078,114260,131762,145287
zmb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,991,814,619,471,375,148,129,141,2
zwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414,2533,2213,2688,2904,5350,4495,4325,3721,3154
