iso,country,region,priority,proxy,note,hasData,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013
kna,Saint Kitts and Nevis,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lca,Saint Lucia,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msr,Montserrat,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nic,Nicaragua,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per,Peru,Latin America,5,bra,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pry,Paraguay,Latin America,5,arg,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slv,El Salvador,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sur,Suriname,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sxm,Sint Maarten,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tca,Turks and Caicos Islands,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ury,Uruguay,Latin America,5,arg,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vct,Saint Vincent And Grenadines,Latin America,5,dom,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are,United Arab Emirates,Middle East,3,isr,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.3,,,,,,
bhr,Bahrain,Middle East,3,isr,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,
irq,Iraq,Middle East,3,isr,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,,,,,,,,
isr,Israel,Middle East,2,cze,proxied-est base,1,,,,,,,,,,,57.7,58.1,58.5,58.9,59.3,59.7,63.1,66.5,69.9,73.3,76.7,77.26,77.82,78.38,78.94,79.5,80.92,82.34,83.76,85.18,86.6,88,89.3,90.7,92.1,92.9,93.5,94.1,94.5,95,95.5,96,96.3,96.6
jor,Jordan,Middle East,3,isr,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,
yem,Yemen,Middle East,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,
irn,Islamic Republic of Iran,Middle East,5,irq,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwt,Kuwait,Middle East,5,irq,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lbn,Lebanon,Middle East,5,irq,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omn,Oman,Middle East,5,are,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pse,Palestine,Middle East,5,irq,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qat,Qatar,Middle East,5,are,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sau,Saudi Arabia,Middle East,5,are,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syr,Syria,Middle East,5,irq,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yug,Yugoslavia,Other Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,Canada,OtherOECD90,3,usa,proxied-ext (absolute diff),1,,,,,,,,,,,,,,51.5,51.6,51.7,51.8,53.77,55.73,57.7,60.05,62.4,64.1,65.8,67.5,68.65,69.8,70.43,71.07,71.7,74.22,76.74,79.27,81.79,84.31,84.31,84.31,84.31,84.31,84.31,,,,
jpn,Japan,OtherOECD90,0,,complete,1,16,17.4,18.8,20.2,21.6,23,24.4,25.8,27.2,28.6,30,31.2,32.4,33.6,34.8,36,37.6,39.2,40.8,42.4,44,46,48,50,52,54,55.6,57.2,58.8,60.4,62,64,65,67,68.07,69.26,71,71.7,72.7,73.7,75.1,75.8,,
usa,United States,OtherOECD90,0,,complete,1,42,47,52,57,62,67,67.38,67.75,68.13,68.5,68.88,69.25,69.63,70,70,70,70,70,70,70,70,70,70,70.45,70.9,71.35,71.8,72.28,72.75,73.22,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,,,,,
aus,Australia,OtherOECD90,5,usa,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pri,Puerto Rico,OtherOECD90,5,chl,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aut,Austria,Western Europe,0,,complete,1,17,18.25,19.5,20.75,22,23.25,24.5,25.75,27,32.5,38,43.4,48.8,54.2,59.6,65,66.4,67.8,69.2,70.6,72,72,72,74.9,74.9,74.9,76.9,78.9,80.9,83.15,85.4,86,86,88.9,88.9,90.35,91.81,92.26,92.72,93.29,93.86,94.18,94.5,
bel,Belgium,Western Europe,0,,complete,1,3.8,4.14,4.48,4.82,5.16,5.5,8.98,12.46,15.94,19.42,22.9,23.3,23.69,24.09,24.49,24.88,25.28,25.68,26.07,26.47,26.87,27.26,27.66,28.06,28.45,28.85,30.34,34.6,38.04,38.67,41.17,45.73,47.64,51.39,53.19,54.4,57.36,68.7,70.98,72.78,,,,
che,Switzerland,Western Europe,0,,complete,1,35,39,43,47,51,55,58.6,62.2,65.8,69.4,73,75.67,78.33,81,82.5,84,85.5,87,88.5,90,90,91,91,93,93,94,94.5,95,95.5,95.8,96,96,96,96.28,96.55,96.83,96.92,97.02,97.11,97.21,97.3,97.53,97.77,98
cyp,Cyprus,Western Europe,3,tur,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,
deu,Germany,Western Europe,3,swe,proxied-ext (absolute diff),1,,,,,,,,,,,,,,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.1,86.7,87.3,87.9,88.5,89.2,89.9,90.6,91.33,92.07,92.8,93.17,93.53,93.9,94.6,95.3,96,96.13,96.27,96.4,,,
dnk,Denmark,Western Europe,0,,complete,1,47.52,49.46,51.39,53.33,55.26,57.2,59.88,62.56,65.24,67.93,70.61,73.29,75.97,78.65,78.65,78.65,80.29,81.92,83.56,85.2,85.36,85.7,85.7,86.13,86.13,87,87.56,87.7,87.7,87.7,87.7,87.7,87.91,88.17,88.42,88.68,88.93,89.19,89.44,89.7,90.4,90.7,90.7,90.84
esp,Spain,Western Europe,3,irl,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,41.9,41.9,41.9,44.03,46.17,48.3,54.84,61.38,67.92,74.46,81,85,89,89.75,90.5,91.25,92,92,92,94,96,96.9,97.8,
fin,Finland,Western Europe,0,,complete,1,27,27.8,28.6,29.4,30.2,31,37.8,44.6,51.4,58.2,65,66.4,67.8,69.2,70.6,72,72.8,73.6,74.4,75.2,76,76,77,77,77,77,78,78,79,80,80,81,81,81.25,81.5,81.75,82,82.25,82.5,82.75,83,83,83,83
fra,France,Western Europe,0,,complete,1,19,23.2,27.4,31.6,35.8,40,43.4,46.8,50.2,53.6,57,58.2,59.4,60.6,61.8,63,64.2,65.4,66.6,67.8,69,70.57,72.14,73.72,75.29,76.86,76.86,76.86,76.86,77.72,78.59,79.45,79.65,79.85,80.05,80.26,80.46,80.67,80.88,81.09,81.29,81.5,81.5,81.5
gbr,United Kingdom,Western Europe,3,swe,proxied-ext (absolute diff),1,,,,,,,,,,,80,80,80,80,80,80,80,80,80,80,80,80,84,84,84,84,84,84,86.58,89.15,91.73,94.3,96.88,96.88,96.88,96.88,96.88,96.88,96.88,97,99.57,,,
grc,Greece,Western Europe,0,,zeroed,1,,,,,,,,,,,,,,,,10,10.2,10.4,10.6,10.8,11,11.2,11.4,49.5,52.08,54.65,55.43,56.2,59.08,61.96,64.84,67.72,70.6,73.48,76.36,79.24,82.12,85,86.16,87.32,87.32,88.1,92.03,
irl,Ireland,Western Europe,0,,zeroed,1,,,,,,,,,,,11.2,14.48,17.76,21.04,24.32,27.6,30.88,34.16,37.44,40.72,44,44,44.5,45,51.3,57.6,58.9,60.21,61.51,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,62.82,63.78,64.74,64.74,64.74,,
isl,Iceland,Western Europe,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,4,4,4,8.4,16.4,33,33,50,50,50,57,57.67,58.33,59,62.5,66,,,
ita,Italy,Western Europe,0,,complete,1,14,15.6,17.2,18.8,20.4,22,23.6,25.2,26.8,28.4,30,34.39,38.77,43.16,47.54,51.93,56.31,60.7,60.7,60.7,60.7,61.47,62.23,63,63,63,64.4,65.8,67.2,68.6,70.79,72.98,75.18,77.37,79.56,81.75,81.82,81.88,81.95,88,,,,
lux,Luxembourg,Western Europe,0,,complete,1,28,33.3,38.6,43.9,49.2,54.5,59.8,65.1,70.4,75.7,81,81.67,82.33,83,83,83,83.86,84.72,85.58,86.44,87.3,87.3,87.3,87.3,87.3,87.5,88.88,90.25,91.63,93,93.45,93.9,94.35,94.8,94.83,94.86,94.89,94.91,94.94,94.97,95,95,98.1,98.2
mlt,Malta,Western Europe,3,tur,proxied-ext (absolute diff),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,
nld,Netherlands,Western Europe,0,,complete,1,44,44.8,45.6,46.4,47.2,48,52.88,57.76,62.64,67.52,72.4,74.32,76.24,78.16,80.08,82,84.36,86.72,89.08,91.44,93.8,93.8,94.8,95.7,96.1,96.7,97.1,97.5,97.75,97.95,98.15,98.35,98.5,98.58,98.8,99,99,99,99,99,99.32,99.36,99.4,
nor,Norway,Western Europe,0,,complete,1,21,22.2,23.4,24.6,25.8,27,28.4,29.8,31.2,32.6,34,35.6,37.2,38.8,40.4,42,45,48,51,54,57,60,63,66,66,67,67,70,73,73,73.7,73.7,73.9,75.2,76,78.6,78.7,78.7,78.9,80.6,81.1,81.3,81.7,81.9
prt,Portugal,Western Europe,0,,zeroed,1,,,,,,1.1,1.34,1.58,1.82,2.06,2.3,2.54,2.78,3.02,3.26,3.5,6.94,10.38,13.82,17.26,20.7,20.7,20.7,20.7,20.7,26.53,32.35,38.18,44,47.25,50.5,53.75,57,60,62.5,65,69,69,70,70.64,,,,
swe,Sweden,Western Europe,0,,complete,1,63,66.6,70.2,73.8,77.4,81,81.2,81.4,81.6,81.8,82,82.6,83.2,83.8,84.4,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,87,87
tur,Turkey,Western Europe,0,,zeroed,1,,,,,,,,,,,,,,,,,,,,,6.8,7.5,8.2,8.9,8.9,8.9,10.5,14.4,16.6,22.55,26.34,27.25,27.43,29.54,35.81,42.13,43.18,45.76,46.17,49.68,52.03,55.15,58.27,
blx,Belgium-Luxembourg ,Western Europe,5,bel,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gib,Gibraltar,Western Europe,5,gbr,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grl,Greenland,Western Europe,5,isl,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lie,Liechtenstein,Western Europe,5,aut,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mne,Montenegro,Western Europe,5,srb,proxied-replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
