inv,em,iso,inv_sector,ceds_sector,Notes
E.CO2_UNFCCC_update_inventory,CO2,ita,1.B.2.a.iv,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,jpn,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,ltu,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,lva,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,mlt,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,nld,1.B.2.a.iv,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,nor,1.B.2.a.iv,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,nzl,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,pol,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,prt,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,rou,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,rus,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,svk,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,svn,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,swe,1.B.2.a.iv,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,tur,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,ukr,1.B.2.c.ii.1,1B2_Fugitive-petr,
E.CO2_UNFCCC_update_inventory,CO2,usa,1.B.2.a,1B2_Fugitive-petr,
E.NH3_KOR_inventory,NH3,kor,Waste disposal,5D_Wastewater-handling,
