FLOW,PRODUCT,balance_correction
ECOKEOVS,Petroleum coke (kt),-1
ECOKEOVS,Non-specified oil products (kt),-1
ECOKEOVS,Heat output from non-specified combustible fuels,-1
ECOKEOVS,Nuclear,-1
ECOKEOVS,Hydro,-1
ECOKEOVS,Geothermal (direct use in TJ-net),-1
ECOKEOVS,Solar photovoltaics,-1
ECOKEOVS,Solar thermal (direct use in TJ-net),-1
ECOKEOVS,"Tide, wave and ocean",-1
ECOKEOVS,Sub-bituminous coal (kt),-1
ECOKEOVS,Wind,-1
ECOKEOVS,Other sources,-1
ECOKEOVS,Electricity (GWh),-1
ECOKEOVS,Heat (TJ),-1
ECOKEOVS,-,-1
ECOKEOVS,Lignite (kt),-1
ECOKEOVS,Peat (kt),-1
ECOKEOVS,Patent fuel (kt),-1
EGASWKS,Hard coal (if no detail) (kt),-1
EGASWKS,Coke oven coke (kt),-1
EGASWKS,Gas coke (kt),-1
EGASWKS,Coal tar (kt),-1
EGASWKS,BKB/peat briquettes (kt),-1
EGASWKS,Gas works gas (TJ-gross),-1
EGASWKS,Coke oven gas (TJ-gross),-1
EGASWKS,Blast furnace gas (TJ-gross),-1
EGASWKS,-,-1
EGASWKS,Elec/heat output from non-specified manufactured gases,-1
EGASWKS,Industrial waste (TJ-net),-1
EGASWKS,Brown coal (if no detail) (kt),-1
EGASWKS,Municipal waste (renewable) (TJ-net),-1
EGASWKS,Municipal waste (non-renewable) (TJ-net),-1
EGASWKS,Primary solid biofuels (TJ-net),-1
EGASWKS,Biogases (TJ-net),-1
EGASWKS,Biogasoline (kt),-1
EGASWKS,Biodiesels (kt),-1
EGASWKS,Other liquid biofuels (kt),-1
EGASWKS,0,-1
EGASWKS,Charcoal (kt),-1
EGASWKS,Natural gas (TJ-gross),-1
EGASWKS,Anthracite (kt),-1
EGASWKS,Crude/NGL/feedstocks (if no detail) (kt),-1
EGASWKS,Crude oil (kt),-1
EGASWKS,Natural gas liquids (kt),-1
EGASWKS,Refinery feedstocks (kt),-1
EGASWKS,Additives/blending components (kt),-1
EGASWKS,Other hydrocarbons (kt),-1
EGASWKS,Refinery gas (kt),-1
EGASWKS,Ethane (kt),-1
EGASWKS,Liquefied petroleum gases (LPG) (kt),-1
EGASWKS,Motor gasoline (kt),-1
EGASWKS,Coking coal (kt),-1
EGASWKS,Aviation gasoline (kt),-1
EGASWKS,Gasoline type jet fuel (kt),-1
EGASWKS,Kerosene type jet fuel (kt),-1
EGASWKS,Other kerosene (kt),-1
EGASWKS,Gas/diesel oil (kt),-1
EGASWKS,Fuel oil (kt),-1
EGASWKS,Naphtha (kt),-1
EGASWKS,White spirit & SBP (kt),-1
EGASWKS,Lubricants (kt),-1
EGASWKS,Bitumen (kt),-1
EGASWKS,Other bituminous coal (kt),-1
EGASWKS,Paraffin waxes (kt),-1
EGASWKS,Petroleum coke (kt),-1
EGASWKS,Non-specified oil products (kt),-1
EGASWKS,Heat output from non-specified combustible fuels,-1
EGASWKS,Nuclear,-1
EGASWKS,Hydro,-1
EGASWKS,Geothermal (direct use in TJ-net),-1
EGASWKS,Solar photovoltaics,-1
EGASWKS,Solar thermal (direct use in TJ-net),-1
EGASWKS,"Tide, wave and ocean",-1
EGASWKS,Sub-bituminous coal (kt),-1
EGASWKS,Wind,-1
EGASWKS,Other sources,-1
EGASWKS,Electricity (GWh),-1
EGASWKS,Heat (TJ),-1
EGASWKS,-,-1
EGASWKS,Lignite (kt),-1
EGASWKS,Peat (kt),-1
EGASWKS,Patent fuel (kt),-1
EGTL,Hard coal (if no detail) (kt),-1
EGTL,Coke oven coke (kt),-1
EGTL,Gas coke (kt),-1
EGTL,Coal tar (kt),-1
EGTL,BKB/peat briquettes (kt),-1
EGTL,Gas works gas (TJ-gross),-1
EGTL,Coke oven gas (TJ-gross),-1
EGTL,Blast furnace gas (TJ-gross),-1
EGTL,-,-1
EGTL,Elec/heat output from non-specified manufactured gases,-1
EGTL,Industrial waste (TJ-net),-1
EGTL,Brown coal (if no detail) (kt),-1
EGTL,Municipal waste (renewable) (TJ-net),-1
EGTL,Municipal waste (non-renewable) (TJ-net),-1
EGTL,Primary solid biofuels (TJ-net),-1
EGTL,Biogases (TJ-net),-1
EGTL,Biogasoline (kt),-1
EGTL,Biodiesels (kt),-1
EGTL,Other liquid biofuels (kt),-1
EGTL,0,-1
EGTL,Charcoal (kt),-1
EGTL,Natural gas (TJ-gross),-1
EGTL,Anthracite (kt),-1
EGTL,Crude/NGL/feedstocks (if no detail) (kt),-1
EGTL,Crude oil (kt),-1
EGTL,Natural gas liquids (kt),-1
EGTL,Refinery feedstocks (kt),-1
EGTL,Additives/blending components (kt),-1
EGTL,Other hydrocarbons (kt),-1
EGTL,Refinery gas (kt),-1
EGTL,Ethane (kt),-1
EGTL,Liquefied petroleum gases (LPG) (kt),-1
EGTL,Motor gasoline (kt),-1
EGTL,Coking coal (kt),-1
EGTL,Aviation gasoline (kt),-1
EGTL,Gasoline type jet fuel (kt),-1
EGTL,Kerosene type jet fuel (kt),-1
EGTL,Other kerosene (kt),-1
EGTL,Gas/diesel oil (kt),-1
EGTL,Fuel oil (kt),-1
EGTL,Naphtha (kt),-1
EGTL,White spirit & SBP (kt),-1
EGTL,Lubricants (kt),-1
EGTL,Bitumen (kt),-1
EGTL,Other bituminous coal (kt),-1
EGTL,Paraffin waxes (kt),-1
EGTL,Petroleum coke (kt),-1
EGTL,Non-specified oil products (kt),-1
EGTL,Heat output from non-specified combustible fuels,-1
EGTL,Nuclear,-1
EGTL,Hydro,-1
EGTL,Geothermal (direct use in TJ-net),-1
EGTL,Solar photovoltaics,-1
EGTL,Solar thermal (direct use in TJ-net),-1
EGTL,"Tide, wave and ocean",-1
EGTL,Sub-bituminous coal (kt),-1
EGTL,Wind,-1
EGTL,Other sources,-1
EGTL,Electricity (GWh),-1
EGTL,Heat (TJ),-1
EGTL,-,-1
EGTL,Lignite (kt),-1
EGTL,Peat (kt),-1
EGTL,Patent fuel (kt),-1
ELNG,Hard coal (if no detail) (kt),-1
ELNG,Coke oven coke (kt),-1
ELNG,Gas coke (kt),-1
ELNG,Coal tar (kt),-1
ELNG,BKB/peat briquettes (kt),-1
ELNG,Gas works gas (TJ-gross),-1
ELNG,Coke oven gas (TJ-gross),-1
ELNG,Blast furnace gas (TJ-gross),-1
ELNG,-,-1
ELNG,Elec/heat output from non-specified manufactured gases,-1
ELNG,Industrial waste (TJ-net),-1
ELNG,Brown coal (if no detail) (kt),-1
ELNG,Municipal waste (renewable) (TJ-net),-1
ELNG,Municipal waste (non-renewable) (TJ-net),-1
ELNG,Primary solid biofuels (TJ-net),-1
ELNG,Biogases (TJ-net),-1
ELNG,Biogasoline (kt),-1
ELNG,Biodiesels (kt),-1
ELNG,Other liquid biofuels (kt),-1
ELNG,0,-1
ELNG,Charcoal (kt),-1
ELNG,Natural gas (TJ-gross),-1
ELNG,Anthracite (kt),-1
ELNG,Crude/NGL/feedstocks (if no detail) (kt),-1
ELNG,Crude oil (kt),-1
ELNG,Natural gas liquids (kt),-1
ELNG,Refinery feedstocks (kt),-1
ELNG,Additives/blending components (kt),-1
ELNG,Other hydrocarbons (kt),-1
ELNG,Refinery gas (kt),-1
ELNG,Ethane (kt),-1
ELNG,Liquefied petroleum gases (LPG) (kt),-1
ELNG,Motor gasoline (kt),-1
ELNG,Coking coal (kt),-1
ELNG,Aviation gasoline (kt),-1
ELNG,Gasoline type jet fuel (kt),-1
ELNG,Kerosene type jet fuel (kt),-1
ELNG,Other kerosene (kt),-1
ELNG,Gas/diesel oil (kt),-1
ELNG,Fuel oil (kt),-1
ELNG,Naphtha (kt),-1
ELNG,White spirit & SBP (kt),-1
ELNG,Lubricants (kt),-1
ELNG,Bitumen (kt),-1
ELNG,Other bituminous coal (kt),-1
ELNG,Paraffin waxes (kt),-1
ELNG,Petroleum coke (kt),-1
ELNG,Non-specified oil products (kt),-1
ELNG,Heat output from non-specified combustible fuels,-1
ELNG,Nuclear,-1
ELNG,Hydro,-1
ELNG,Geothermal (direct use in TJ-net),-1
ELNG,Solar photovoltaics,-1
ELNG,Solar thermal (direct use in TJ-net),-1
ELNG,"Tide, wave and ocean",-1
ELNG,Sub-bituminous coal (kt),-1
ELNG,Wind,-1
ELNG,Other sources,-1
ELNG,Electricity (GWh),-1
ELNG,Heat (TJ),-1
ELNG,-,-1
ELNG,Lignite (kt),-1
ELNG,Peat (kt),-1
ELNG,Patent fuel (kt),-1
EMINES,Hard coal (if no detail) (kt),-1
EMINES,Coke oven coke (kt),-1
EMINES,Gas coke (kt),-1
EMINES,Coal tar (kt),-1
EMINES,BKB/peat briquettes (kt),-1
EMINES,Gas works gas (TJ-gross),-1
EMINES,Coke oven gas (TJ-gross),-1
EMINES,Blast furnace gas (TJ-gross),-1
EMINES,-,-1
EMINES,Elec/heat output from non-specified manufactured gases,-1
EMINES,Industrial waste (TJ-net),-1
EMINES,Brown coal (if no detail) (kt),-1
EMINES,Municipal waste (renewable) (TJ-net),-1
EMINES,Municipal waste (non-renewable) (TJ-net),-1
EMINES,Primary solid biofuels (TJ-net),-1
EMINES,Biogases (TJ-net),-1
EMINES,Biogasoline (kt),-1
EMINES,Biodiesels (kt),-1
EMINES,Other liquid biofuels (kt),-1
EMINES,0,-1
EMINES,Charcoal (kt),-1
EMINES,Natural gas (TJ-gross),-1
EMINES,Anthracite (kt),-1
EMINES,Crude/NGL/feedstocks (if no detail) (kt),-1
EMINES,Crude oil (kt),-1
EMINES,Natural gas liquids (kt),-1
EMINES,Refinery feedstocks (kt),-1
EMINES,Additives/blending components (kt),-1
EMINES,Other hydrocarbons (kt),-1
EMINES,Refinery gas (kt),-1
EMINES,Ethane (kt),-1
EMINES,Liquefied petroleum gases (LPG) (kt),-1
EMINES,Motor gasoline (kt),-1
EMINES,Coking coal (kt),-1
EMINES,Aviation gasoline (kt),-1
EMINES,Gasoline type jet fuel (kt),-1
EMINES,Kerosene type jet fuel (kt),-1
EMINES,Other kerosene (kt),-1
EMINES,Gas/diesel oil (kt),-1
EMINES,Fuel oil (kt),-1
EMINES,Naphtha (kt),-1
EMINES,White spirit & SBP (kt),-1
EMINES,Lubricants (kt),-1
EMINES,Bitumen (kt),-1
EMINES,Other bituminous coal (kt),-1
EMINES,Paraffin waxes (kt),-1
EMINES,Petroleum coke (kt),-1
EMINES,Non-specified oil products (kt),-1
EMINES,Heat output from non-specified combustible fuels,-1
EMINES,Nuclear,-1
EMINES,Hydro,-1
EMINES,Geothermal (direct use in TJ-net),-1
EMINES,Solar photovoltaics,-1
EMINES,Solar thermal (direct use in TJ-net),-1
EMINES,"Tide, wave and ocean",-1
EMINES,Sub-bituminous coal (kt),-1
EMINES,Wind,-1
EMINES,Other sources,-1
EMINES,Electricity (GWh),-1
EMINES,Heat (TJ),-1
EMINES,-,-1
EMINES,Lignite (kt),-1
EMINES,Peat (kt),-1
EMINES,Patent fuel (kt),-1
ENONSPEC,Hard coal (if no detail) (kt),-1
ENONSPEC,Coke oven coke (kt),-1
ENONSPEC,Gas coke (kt),-1
ENONSPEC,Coal tar (kt),-1
ENONSPEC,BKB/peat briquettes (kt),-1
ENONSPEC,Gas works gas (TJ-gross),-1
ENONSPEC,Coke oven gas (TJ-gross),-1
ENONSPEC,Blast furnace gas (TJ-gross),-1
ENONSPEC,-,-1
ENONSPEC,Elec/heat output from non-specified manufactured gases,-1
ENONSPEC,Industrial waste (TJ-net),-1
ENONSPEC,Brown coal (if no detail) (kt),-1
ENONSPEC,Municipal waste (renewable) (TJ-net),-1
ENONSPEC,Municipal waste (non-renewable) (TJ-net),-1
ENONSPEC,Primary solid biofuels (TJ-net),-1
ENONSPEC,Biogases (TJ-net),-1
ENONSPEC,Biogasoline (kt),-1
ENONSPEC,Biodiesels (kt),-1
ENONSPEC,Other liquid biofuels (kt),-1
ENONSPEC,0,-1
ENONSPEC,Charcoal (kt),-1
ENONSPEC,Natural gas (TJ-gross),-1
ENONSPEC,Anthracite (kt),-1
ENONSPEC,Crude/NGL/feedstocks (if no detail) (kt),-1
ENONSPEC,Crude oil (kt),-1
ENONSPEC,Natural gas liquids (kt),-1
ENONSPEC,Refinery feedstocks (kt),-1
ENONSPEC,Additives/blending components (kt),-1
ENONSPEC,Other hydrocarbons (kt),-1
ENONSPEC,Refinery gas (kt),-1
ENONSPEC,Ethane (kt),-1
ENONSPEC,Liquefied petroleum gases (LPG) (kt),-1
ENONSPEC,Motor gasoline (kt),-1
ENONSPEC,Coking coal (kt),-1
ENONSPEC,Aviation gasoline (kt),-1
ENONSPEC,Gasoline type jet fuel (kt),-1
ENONSPEC,Kerosene type jet fuel (kt),-1
ENONSPEC,Other kerosene (kt),-1
ENONSPEC,Gas/diesel oil (kt),-1
ENONSPEC,Fuel oil (kt),-1
ENONSPEC,Naphtha (kt),-1
ENONSPEC,White spirit & SBP (kt),-1
ENONSPEC,Lubricants (kt),-1
ENONSPEC,Bitumen (kt),-1
ENONSPEC,Other bituminous coal (kt),-1
ENONSPEC,Paraffin waxes (kt),-1
ENONSPEC,Petroleum coke (kt),-1
ENONSPEC,Non-specified oil products (kt),-1
ENONSPEC,Heat output from non-specified combustible fuels,-1
ENONSPEC,Nuclear,-1
ENONSPEC,Hydro,-1
ENONSPEC,Geothermal (direct use in TJ-net),-1
ENONSPEC,Solar photovoltaics,-1
ENONSPEC,Solar thermal (direct use in TJ-net),-1
ENONSPEC,"Tide, wave and ocean",-1
ENONSPEC,Sub-bituminous coal (kt),-1
ENONSPEC,Wind,-1
ENONSPEC,Other sources,-1
ENONSPEC,Electricity (GWh),-1
ENONSPEC,Heat (TJ),-1
ENONSPEC,-,-1
ENONSPEC,Lignite (kt),-1
ENONSPEC,Peat (kt),-1
ENONSPEC,Patent fuel (kt),-1
ENUC,Hard coal (if no detail) (kt),-1
ENUC,Coke oven coke (kt),-1
ENUC,Gas coke (kt),-1
ENUC,Coal tar (kt),-1
ENUC,BKB/peat briquettes (kt),-1
ENUC,Gas works gas (TJ-gross),-1
ENUC,Coke oven gas (TJ-gross),-1
ENUC,Blast furnace gas (TJ-gross),-1
ENUC,-,-1
ENUC,Elec/heat output from non-specified manufactured gases,-1
ENUC,Industrial waste (TJ-net),-1
ENUC,Brown coal (if no detail) (kt),-1
ENUC,Municipal waste (renewable) (TJ-net),-1
ENUC,Municipal waste (non-renewable) (TJ-net),-1
ENUC,Primary solid biofuels (TJ-net),-1
ENUC,Biogases (TJ-net),-1
ENUC,Biogasoline (kt),-1
ENUC,Biodiesels (kt),-1
ENUC,Other liquid biofuels (kt),-1
ENUC,0,-1
ENUC,Charcoal (kt),-1
ENUC,Natural gas (TJ-gross),-1
ENUC,Anthracite (kt),-1
ENUC,Crude/NGL/feedstocks (if no detail) (kt),-1
ENUC,Crude oil (kt),-1
ENUC,Natural gas liquids (kt),-1
ENUC,Refinery feedstocks (kt),-1
ENUC,Additives/blending components (kt),-1
ENUC,Other hydrocarbons (kt),-1
ENUC,Refinery gas (kt),-1
ENUC,Ethane (kt),-1
ENUC,Liquefied petroleum gases (LPG) (kt),-1
ENUC,Motor gasoline (kt),-1
ENUC,Coking coal (kt),-1
ENUC,Aviation gasoline (kt),-1
ENUC,Gasoline type jet fuel (kt),-1
ENUC,Kerosene type jet fuel (kt),-1
ENUC,Other kerosene (kt),-1
ENUC,Gas/diesel oil (kt),-1
ENUC,Fuel oil (kt),-1
ENUC,Naphtha (kt),-1
ENUC,White spirit & SBP (kt),-1
ENUC,Lubricants (kt),-1
ENUC,Bitumen (kt),-1
ENUC,Other bituminous coal (kt),-1
ENUC,Paraffin waxes (kt),-1
ENUC,Petroleum coke (kt),-1
ENUC,Non-specified oil products (kt),-1
ENUC,Heat output from non-specified combustible fuels,-1
ENUC,Nuclear,-1
ENUC,Hydro,-1
ENUC,Geothermal (direct use in TJ-net),-1
ENUC,Solar photovoltaics,-1
ENUC,Solar thermal (direct use in TJ-net),-1
ENUC,"Tide, wave and ocean",-1
ENUC,Sub-bituminous coal (kt),-1
ENUC,Wind,-1
ENUC,Other sources,-1
ENUC,Electricity (GWh),-1
ENUC,Heat (TJ),-1
ENUC,-,-1
ENUC,Lignite (kt),-1
ENUC,Peat (kt),-1
ENUC,Patent fuel (kt),-1
EOILGASE0,Hard coal (if no detail) (kt),-1
EOILGASE0,Coke oven coke (kt),-1
EOILGASE0,Gas coke (kt),-1
EOILGASE0,Coal tar (kt),-1
EOILGASE0,BKB/peat briquettes (kt),-1
EOILGASE0,Gas works gas (TJ-gross),-1
EOILGASE0,Coke oven gas (TJ-gross),-1
EOILGASE0,Blast furnace gas (TJ-gross),-1
EOILGASE0,-,-1
EOILGASE0,Elec/heat output from non-specified manufactured gases,-1
EOILGASE0,Industrial waste (TJ-net),-1
EOILGASE0,Brown coal (if no detail) (kt),-1
EOILGASE0,Municipal waste (renewable) (TJ-net),-1
EOILGASE0,Municipal waste (non-renewable) (TJ-net),-1
EOILGASE0,Primary solid biofuels (TJ-net),-1
EOILGASE0,Biogases (TJ-net),-1
EOILGASE0,Biogasoline (kt),-1
EOILGASE0,Biodiesels (kt),-1
EOILGASE0,Other liquid biofuels (kt),-1
EOILGASE0,0,-1
EOILGASE0,Charcoal (kt),-1
EOILGASE0,Natural gas (TJ-gross),-1
EOILGASE0,Anthracite (kt),-1
EOILGASE0,Crude/NGL/feedstocks (if no detail) (kt),-1
EOILGASE0,Crude oil (kt),-1
EOILGASE0,Natural gas liquids (kt),-1
EOILGASE0,Refinery feedstocks (kt),-1
EOILGASE0,Additives/blending components (kt),-1
EOILGASE0,Other hydrocarbons (kt),-1
EOILGASE0,Refinery gas (kt),-1
EOILGASE0,Ethane (kt),-1
EOILGASE0,Liquefied petroleum gases (LPG) (kt),-1
EOILGASE0,Motor gasoline (kt),-1
EOILGASE0,Coking coal (kt),-1
EOILGASE0,Aviation gasoline (kt),-1
EOILGASE0,Gasoline type jet fuel (kt),-1
EOILGASE0,Kerosene type jet fuel (kt),-1
EOILGASE0,Other kerosene (kt),-1
EOILGASE0,Gas/diesel oil (kt),-1
EOILGASE0,Fuel oil (kt),-1
EOILGASE0,Naphtha (kt),-1
EOILGASE0,White spirit & SBP (kt),-1
EOILGASE0,Lubricants (kt),-1
EOILGASE0,Bitumen (kt),-1
EOILGASE0,Other bituminous coal (kt),-1
EOILGASE0,Paraffin waxes (kt),-1
EOILGASE0,Petroleum coke (kt),-1
EOILGASE0,Non-specified oil products (kt),-1
EOILGASE0,Heat output from non-specified combustible fuels,-1
EOILGASE0,Nuclear,-1
EOILGASE0,Hydro,-1
EOILGASE0,Geothermal (direct use in TJ-net),-1
EOILGASE0,Solar photovoltaics,-1
EOILGASE0,Solar thermal (direct use in TJ-net),-1
EOILGASE0,"Tide, wave and ocean",-1
EOILGASE0,Sub-bituminous coal (kt),-1
EOILGASE0,Wind,-1
EOILGASE0,Other sources,-1
EOILGASE0,Electricity (GWh),-1
EOILGASE0,Heat (TJ),-1
EOILGASE0,-,-1
EOILGASE0,Lignite (kt),-1
EOILGASE0,Peat (kt),-1
EOILGASE0,Patent fuel (kt),-1
EPATFUEL,Hard coal (if no detail) (kt),-1
EPATFUEL,Coke oven coke (kt),-1
EPATFUEL,Gas coke (kt),-1
EPATFUEL,Coal tar (kt),-1
EPATFUEL,BKB/peat briquettes (kt),-1
EPATFUEL,Gas works gas (TJ-gross),-1
EPATFUEL,Coke oven gas (TJ-gross),-1
EPATFUEL,Blast furnace gas (TJ-gross),-1
EPATFUEL,-,-1
EPATFUEL,Elec/heat output from non-specified manufactured gases,-1
EPATFUEL,Industrial waste (TJ-net),-1
EPATFUEL,Brown coal (if no detail) (kt),-1
EPATFUEL,Municipal waste (renewable) (TJ-net),-1
EPATFUEL,Municipal waste (non-renewable) (TJ-net),-1
EPATFUEL,Primary solid biofuels (TJ-net),-1
EPATFUEL,Biogases (TJ-net),-1
EPATFUEL,Biogasoline (kt),-1
EPATFUEL,Biodiesels (kt),-1
EPATFUEL,Other liquid biofuels (kt),-1
EPATFUEL,0,-1
EPATFUEL,Charcoal (kt),-1
EPATFUEL,Natural gas (TJ-gross),-1
EPATFUEL,Anthracite (kt),-1
EPATFUEL,Crude/NGL/feedstocks (if no detail) (kt),-1
EPATFUEL,Crude oil (kt),-1
EPATFUEL,Natural gas liquids (kt),-1
EPATFUEL,Refinery feedstocks (kt),-1
EPATFUEL,Additives/blending components (kt),-1
EPATFUEL,Other hydrocarbons (kt),-1
EPATFUEL,Refinery gas (kt),-1
EPATFUEL,Ethane (kt),-1
EPATFUEL,Liquefied petroleum gases (LPG) (kt),-1
EPATFUEL,Motor gasoline (kt),-1
EPATFUEL,Coking coal (kt),-1
EPATFUEL,Aviation gasoline (kt),-1
EPATFUEL,Gasoline type jet fuel (kt),-1
EPATFUEL,Kerosene type jet fuel (kt),-1
EPATFUEL,Other kerosene (kt),-1
EPATFUEL,Gas/diesel oil (kt),-1
EPATFUEL,Fuel oil (kt),-1
EPATFUEL,Naphtha (kt),-1
EPATFUEL,White spirit & SBP (kt),-1
EPATFUEL,Lubricants (kt),-1
EPATFUEL,Bitumen (kt),-1
EPATFUEL,Other bituminous coal (kt),-1
EPATFUEL,Paraffin waxes (kt),-1
EPATFUEL,Petroleum coke (kt),-1
EPATFUEL,Non-specified oil products (kt),-1
EPATFUEL,Heat output from non-specified combustible fuels,-1
EPATFUEL,Nuclear,-1
EPATFUEL,Hydro,-1
EPATFUEL,Geothermal (direct use in TJ-net),-1
EPATFUEL,Solar photovoltaics,-1
EPATFUEL,Solar thermal (direct use in TJ-net),-1
EPATFUEL,"Tide, wave and ocean",-1
EPATFUEL,Sub-bituminous coal (kt),-1
EPATFUEL,Wind,-1
EPATFUEL,Other sources,-1
EPATFUEL,Electricity (GWh),-1
EPATFUEL,Heat (TJ),-1
EPATFUEL,-,-1
EPATFUEL,Lignite (kt),-1
EPATFUEL,Peat (kt),-1
EPATFUEL,Patent fuel (kt),-1
EPOWERPLT,Hard coal (if no detail) (kt),-1
EPOWERPLT,Coke oven coke (kt),-1
EPOWERPLT,Gas coke (kt),-1
EPOWERPLT,Coal tar (kt),-1
EPOWERPLT,BKB/peat briquettes (kt),-1
EPOWERPLT,Gas works gas (TJ-gross),-1
EPOWERPLT,Coke oven gas (TJ-gross),-1
EPOWERPLT,Blast furnace gas (TJ-gross),-1
EPOWERPLT,-,-1
EPOWERPLT,Elec/heat output from non-specified manufactured gases,-1
EPOWERPLT,Industrial waste (TJ-net),-1
EPOWERPLT,Brown coal (if no detail) (kt),-1
EPOWERPLT,Municipal waste (renewable) (TJ-net),-1
EPOWERPLT,Municipal waste (non-renewable) (TJ-net),-1
EPOWERPLT,Primary solid biofuels (TJ-net),-1
EPOWERPLT,Biogases (TJ-net),-1
EPOWERPLT,Biogasoline (kt),-1
EPOWERPLT,Biodiesels (kt),-1
EPOWERPLT,Other liquid biofuels (kt),-1
EPOWERPLT,0,-1
EPOWERPLT,Charcoal (kt),-1
EPOWERPLT,Natural gas (TJ-gross),-1
EPOWERPLT,Anthracite (kt),-1
EPOWERPLT,Crude/NGL/feedstocks (if no detail) (kt),-1
EPOWERPLT,Crude oil (kt),-1
EPOWERPLT,Natural gas liquids (kt),-1
EPOWERPLT,Refinery feedstocks (kt),-1
EPOWERPLT,Additives/blending components (kt),-1
EPOWERPLT,Other hydrocarbons (kt),-1
EPOWERPLT,Refinery gas (kt),-1
EPOWERPLT,Ethane (kt),-1
EPOWERPLT,Liquefied petroleum gases (LPG) (kt),-1
EPOWERPLT,Motor gasoline (kt),-1
EPOWERPLT,Coking coal (kt),-1
EPOWERPLT,Aviation gasoline (kt),-1
EPOWERPLT,Gasoline type jet fuel (kt),-1
EPOWERPLT,Kerosene type jet fuel (kt),-1
EPOWERPLT,Other kerosene (kt),-1
EPOWERPLT,Gas/diesel oil (kt),-1
EPOWERPLT,Fuel oil (kt),-1
EPOWERPLT,Naphtha (kt),-1
EPOWERPLT,White spirit & SBP (kt),-1
EPOWERPLT,Lubricants (kt),-1
EPOWERPLT,Bitumen (kt),-1
EPOWERPLT,Other bituminous coal (kt),-1
EPOWERPLT,Paraffin waxes (kt),-1
EPOWERPLT,Petroleum coke (kt),-1
EPOWERPLT,Non-specified oil products (kt),-1
EPOWERPLT,Heat output from non-specified combustible fuels,-1
EPOWERPLT,Nuclear,-1
EPOWERPLT,Hydro,-1
EPOWERPLT,Geothermal (direct use in TJ-net),-1
EPOWERPLT,Solar photovoltaics,-1
EPOWERPLT,Solar thermal (direct use in TJ-net),-1
EPOWERPLT,"Tide, wave and ocean",-1
EPOWERPLT,Sub-bituminous coal (kt),-1
EPOWERPLT,Wind,-1
EPOWERPLT,Other sources,-1
EPOWERPLT,Electricity (GWh),-1
EPOWERPLT,Heat (TJ),-1
EPOWERPLT,-,-1
EPOWERPLT,Lignite (kt),-1
EPOWERPLT,Peat (kt),-1
EPOWERPLT,Patent fuel (kt),-1
EPUMPST,Hard coal (if no detail) (kt),-1
EPUMPST,Coke oven coke (kt),-1
EPUMPST,Gas coke (kt),-1
EPUMPST,Coal tar (kt),-1
EPUMPST,BKB/peat briquettes (kt),-1
EPUMPST,Gas works gas (TJ-gross),-1
EPUMPST,Coke oven gas (TJ-gross),-1
EPUMPST,Blast furnace gas (TJ-gross),-1
EPUMPST,-,-1
EPUMPST,Elec/heat output from non-specified manufactured gases,-1
EPUMPST,Industrial waste (TJ-net),-1
EPUMPST,Brown coal (if no detail) (kt),-1
EPUMPST,Municipal waste (renewable) (TJ-net),-1
EPUMPST,Municipal waste (non-renewable) (TJ-net),-1
EPUMPST,Primary solid biofuels (TJ-net),-1
EPUMPST,Biogases (TJ-net),-1
EPUMPST,Biogasoline (kt),-1
EPUMPST,Biodiesels (kt),-1
EPUMPST,Other liquid biofuels (kt),-1
EPUMPST,0,-1
EPUMPST,Charcoal (kt),-1
EPUMPST,Natural gas (TJ-gross),-1
EPUMPST,Anthracite (kt),-1
EPUMPST,Crude/NGL/feedstocks (if no detail) (kt),-1
EPUMPST,Crude oil (kt),-1
EPUMPST,Natural gas liquids (kt),-1
EPUMPST,Refinery feedstocks (kt),-1
EPUMPST,Additives/blending components (kt),-1
EPUMPST,Other hydrocarbons (kt),-1
EPUMPST,Refinery gas (kt),-1
EPUMPST,Ethane (kt),-1
EPUMPST,Liquefied petroleum gases (LPG) (kt),-1
EPUMPST,Motor gasoline (kt),-1
EPUMPST,Coking coal (kt),-1
EPUMPST,Aviation gasoline (kt),-1
EPUMPST,Gasoline type jet fuel (kt),-1
EPUMPST,Kerosene type jet fuel (kt),-1
EPUMPST,Other kerosene (kt),-1
EPUMPST,Gas/diesel oil (kt),-1
EPUMPST,Fuel oil (kt),-1
EPUMPST,Naphtha (kt),-1
EPUMPST,White spirit & SBP (kt),-1
EPUMPST,Lubricants (kt),-1
EPUMPST,Bitumen (kt),-1
EPUMPST,Other bituminous coal (kt),-1
EPUMPST,Paraffin waxes (kt),-1
EPUMPST,Petroleum coke (kt),-1
EPUMPST,Non-specified oil products (kt),-1
EPUMPST,Heat output from non-specified combustible fuels,-1
EPUMPST,Nuclear,-1
EPUMPST,Hydro,-1
EPUMPST,Geothermal (direct use in TJ-net),-1
EPUMPST,Solar photovoltaics,-1
EPUMPST,Solar thermal (direct use in TJ-net),-1
EPUMPST,"Tide, wave and ocean",-1
EPUMPST,Sub-bituminous coal (kt),-1
EPUMPST,Wind,-1
EPUMPST,Other sources,-1
EPUMPST,Electricity (GWh),-1
EPUMPST,Heat (TJ),-1
EPUMPST,-,-1
EPUMPST,Lignite (kt),-1
EPUMPST,Peat (kt),-1
EPUMPST,Patent fuel (kt),-1
EREFINER,Hard coal (if no detail) (kt),-1
EREFINER,Coke oven coke (kt),-1
EREFINER,Gas coke (kt),-1
