iso,CEDS_grd_sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
cog,ENE,0.074991206,0,0.005871088,0.041600033,0.026856917,0.051294266,0.008617927,0,0,0.006151005,0.006624712,0.016434353,0.006502697,0.009535647,0,0,0,0,0.043200929,0.015754325,0.023936523,0.086196783,0.57643159
cok,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
col,ENE,0,0,0.0892969,0.202159328,0.349070646,0.054230303,0.009931822,0,0,0.009053643,0.10075921,0.060014868,0.018079114,0,0.011620778,0,0,0,0.087331911,0,0,0.008451476,0
com,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpv,ENE,0.054687862,0.008277809,0.01269609,0.047121424,0.025857805,0.104300366,0.013582767,0,0,0.039904202,0.014325783,0.042511711,0.100777146,0.008148466,0.039578265,0,0,0,0.036215412,0.011923924,0.018116758,0.083812818,0.338161392
cri,ENE,0.115068962,0,0.009013578,0.063883106,0.041319313,0.078695379,0.005285925,0,0,0.00944332,0.010170577,0.025158873,0.009983255,0.014880905,0,0,0,0,0.066133894,0.024194403,0.036760062,0.132263179,0.357745269
cub,ENE,0.161245496,0,0.013111352,0.09055786,0.059685637,0.110516839,0.000448168,0,0,0.013191368,0.014794349,0.035539867,0.0139456,0.020922978,0,0,0,0,0.093092796,0.033898216,0.051503666,0.185339646,0.102206164
cym,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyp,ENE,0.159684724,0,0.01251147,0.088652968,0.057334807,0.109210005,0.005324678,0,0,0.013107982,0.014117464,0.034911563,0.013857446,0.02064989,0,0,0,0,0.09177265,0.033573764,0.051010705,0.18354567,0.110734214
cze,ENE,0.012823541,0.00591153,0.065752116,0.154460406,0.24323409,0.0945284,0.00260009,0.003166363,0.003410214,0.032715855,0.074192171,0.066189683,0.088144126,0.001658089,0.036577023,0,0,0,0.067736278,0.002696114,0.004096374,0.032473913,0.007633625
deu,ENE,0.002531781,0.008455363,0.060099717,0.138577737,0.212695616,0.109466983,0.005672643,0.004528859,0.004877639,0.045497083,0.067814225,0.070934791,0.124704105,0.000327348,0.052317695,0,0,0,0.055810562,0.000532351,0.000808834,0.028276308,0.00607036
