"report_year","emission","primary_anzsic_class_code","primary_anzsic_class_name","substance_id","air_total_emission_kg"
"2006/2007","NOx",3321,"Petroleum Product Wholesaling",69,1555277.6
"2006/2007","NOx",3323,"Industrial and Agricultural Chemical Product Wholesaling",69,2490
"2006/2007","NOx",3331,"Timber Wholesaling",69,750
"2006/2007","NOx",3504,"Motor Vehicle New Parts Wholesaling",69,3060
"2006/2007","NOx",4710,"Rail Freight Transport",69,181573
"2006/2007","NOx",5211,"Stevedoring Services",69,245581
"2006/2007","NOx",5212,"Port and Water Transport Terminal Operations",69,1995870.889063
"2006/2007","NOx",5220,"Airport Operations and Other Air Transport Support Services",69,17374
"2006/2007","NOx",5309,"Other Warehousing and Storage Services",69,5100
"2006/2007","NOx",6910,"Scientific Research Services",69,7190
"2006/2007","NOx",7291,"Office Administrative Services",69,13100
"2006/2007","NOx",7510,"Central Government Administration",69,2100
"2006/2007","NOx",7600,"Defence",69,1807
"2006/2007","NOx",8102,"Higher Education",69,279632
"2006/2007","NOx",8401,"Hospitals (Except Psychiatric Hospitals)",69,250875.152945
"2006/2007","NOx",9531,"Laundry and Dry-Cleaning Services",69,26778
"2006/2007","SO2",143,"Beef Cattle Feedlots (Specialised)",77,55632.125739207
"2006/2007","SO2",171,"Poultry Farming (Meat)",77,110
"2006/2007","SO2",192,"Pig Farming",77,4531.9005
"2006/2007","SO2",600,"Coal Mining",77,2564589.933125
"2006/2007","SO2",700,"Oil and Gas Extraction",77,1563021.34073933
"2006/2007","SO2",801,"Iron Ore Mining",77,1369995.74625263
"2006/2007","SO2",802,"Bauxite Mining",77,28506429.2792969
"2006/2007","SO2",803,"Copper Ore Mining",77,1907741.38
"2006/2007","SO2",804,"Gold Ore Mining",77,898128.07993721
"2006/2007","SO2",805,"Mineral Sand Mining",77,4535097.81
"2006/2007","SO2",806,"Nickel Ore Mining",77,2008446.33018324
"2006/2007","SO2",807,"Silver-Lead-Zinc Ore Mining",77,172898.19000977
"2006/2007","SO2",809,"Other Metal Ore Mining",77,790558.8
"2006/2007","SO2",911,"Gravel and Sand Quarrying",77,123109.57
"2006/2007","SO2",919,"Other Construction Material Mining",77,47176
"2006/2007","SO2",990,"Other Non-Metallic Mineral Mining and Quarrying",77,79635.8
"2006/2007","SO2",1012,"Mineral Exploration",77,161
"2006/2007","SO2",1111,"Meat Processing",77,1190782.9309316
"2006/2007","SO2",1112,"Poultry Processing",77,53143.61865
"2006/2007","SO2",1113,"Cured Meat and Smallgoods Manufacturing",77,101.7
"2006/2007","SO2",1131,"Milk and Cream Processing",77,138482.675
"2006/2007","SO2",1132,"Ice Cream Manufacturing",77,41.23
"2006/2007","SO2",1133,"Cheese and Other Dairy Product Manufacturing",77,688.8
"2006/2007","SO2",1140,"Fruit and Vegetable Processing",77,238635.849002323
"2006/2007","SO2",1150,"Oil and Fat Manufacturing",77,142203.183
"2006/2007","SO2",1161,"Grain Mill Product Manufacturing",77,331438.1
"2006/2007","SO2",1162,"Cereal, Pasta and Baking Mix Manufacturing",77,33745.07
"2006/2007","SO2",1171,"Bread Manufacturing (Factory based)",77,248.39999980927
"2006/2007","SO2",1172,"Cake and Pastry Manufacturing (Factory based)",77,5
"2006/2007","SO2",1173,"Biscuit Manufacturing (Factory based)",77,78.7
"2006/2007","SO2",1181,"Sugar Manufacturing",77,3193957
"2006/2007","SO2",1182,"Confectionery Manufacturing",77,80964.1927
"2006/2007","SO2",1191,"Potato, Corn and Other Crisp Manufacturing",77,50.1
"2006/2007","SO2",1192,"Prepared Animal and Bird Feed Manufacturing",77,60302.1523300003
"2006/2007","SO2",1199,"Other Food Product Manufacturing n.e.c.",77,923527.87269531
"2006/2007","SO2",1211,"Soft Drink, Cordial and Syrup Manufacturing",77,303.1
"2006/2007","SO2",1212,"Beer Manufacturing",77,124831
"2006/2007","SO2",1213,"Spirit Manufacturing",77,178.39
"2006/2007","SO2",1214,"Wine and Other Alcoholic Beverage Manufacturing",77,144.415947
"2006/2007","SO2",1220,"Cigarette and Tobacco Product Manufacturing",77,72.3
"2006/2007","SO2",1311,"Wool Scouring",77,221.21
"2006/2007","SO2",1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",77,4140
"2006/2007","SO2",1331,"Textile Floor Covering Manufacturing",77,3037.03226172
"2006/2007","SO2",1333,"Cut and Sewn Textile Product Manufacturing",77,21.5367049984634
"2006/2007","SO2",1334,"Textile Finishing and Other Textile Product Manufacturing",77,154.8
"2006/2007","SO2",1351,"Clothing Manufacturing",77,7.2
"2006/2007","SO2",1411,"Log Sawmilling",77,21161.213503416
"2006/2007","SO2",1413,"Timber Resawing and Dressing",77,18282.207975651
"2006/2007","SO2",1493,"Veneer and Plywood Manufacturing",77,3997.868001709
"2006/2007","SO2",1494,"Reconstituted Wood Product Manufacturing",77,141392.010618896
"2006/2007","SO2",1499,"Other Wood Product Manufacturing n.e.c.",77,912.7
"2006/2007","SO2",1510,"Pulp, Paper and Paperboard Manufacturing",77,3285947.696
"2006/2007","SO2",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",77,93384.3
"2006/2007","SO2",1529,"Other Converted Paper Product Manufacturing",77,27
"2006/2007","SO2",1611,"Printing",77,268.179
"2006/2007","SO2",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",77,13791673.67004
"2006/2007","SO2",1709,"Other Petroleum and Coal Product Manufacturing",77,735191.26
"2006/2007","SO2",1811,"Industrial Gas Manufacturing",77,198.8900425
"2006/2007","SO2",1812,"Basic Organic Chemical Manufacturing",77,1334501.64
"2006/2007","SO2",1813,"Basic Inorganic Chemical Manufacturing",77,208565.35592188
"2006/2007","SO2",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",77,131318.95
"2006/2007","SO2",1829,"Other Basic Polymer Manufacturing",77,11
"2006/2007","SO2",1831,"Fertiliser Manufacturing",77,17947987.5899939
"2006/2007","SO2",1832,"Pesticide Manufacturing",77,665
"2006/2007","SO2",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",77,208.143
"2006/2007","SO2",1851,"Cleaning Compound Manufacturing",77,898.62
"2006/2007","SO2",1852,"Cosmetic and Toiletry Preparation Manufacturing",77,11
"2006/2007","SO2",1892,"Explosive Manufacturing",77,4837.8
"2006/2007","SO2",1899,"Other Basic Chemical Product Manufacturing n.e.c.",77,3064.08
"2006/2007","SO2",1911,"Polymer Film and Sheet Packaging Material Manufacturing",77,50.2
"2006/2007","SO2",1912,"Rigid and Semi-Rigid Polymer Product Manufacturing",77,23.1
"2006/2007","SO2",1913,"Polymer Foam Product Manufacturing",77,8071.40999990463
"2006/2007","SO2",1914,"Tyre Manufacturing",77,173
"2006/2007","SO2",1915,"Adhesive Manufacturing",77,102
"2006/2007","SO2",1916,"Paint and Coatings Manufacturing",77,258
"2006/2007","SO2",1919,"Other Polymer Product Manufacturing",77,24.58
"2006/2007","SO2",1920,"Natural Rubber Product Manufacturing",77,30.2
"2006/2007","SO2",2010,"Glass and Glass Product Manufacturing",77,2344244.3
"2006/2007","SO2",2021,"Clay Brick Manufacturing",77,2601849.34535054
"2006/2007","SO2",2029,"Other Ceramic Product Manufacturing",77,112732.4501953
"2006/2007","SO2",2031,"Cement and Lime Manufacturing",77,2492320.661
"2006/2007","SO2",2032,"Plaster Product Manufacturing",77,35774.84
"2006/2007","SO2",2033,"Ready-Mixed Concrete Manufacturing",77,32515.5
"2006/2007","SO2",2034,"Concrete Product Manufacturing",77,27289.434
"2006/2007","SO2",2090,"Other Non-Metallic Mineral Product Manufacturing",77,40455.1016594
"2006/2007","SO2",2110,"Iron Smelting and Steel Manufacturing",77,12157751.22
"2006/2007","SO2",2121,"Iron and Steel Casting",77,18069.3
"2006/2007","SO2",2122,"Steel Pipe and Tube Manufacturing",77,993.6
"2006/2007","SO2",2131,"Alumina Production",77,13972030
"2006/2007","SO2",2132,"Aluminium Smelting",77,39289548.521
"2006/2007","SO2",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",77,264987679.4
"2006/2007","SO2",2139,"Other Basic Non-Ferrous Metal Manufacturing",77,203625034.416
"2006/2007","SO2",2141,"Non-Ferrous Metal Casting",77,278.699996948
"2006/2007","SO2",2142,"Aluminium Rolling, Drawing, Extruding",77,29611.367
"2006/2007","SO2",2229,"Other Structural Metal Product Manufacturing",77,341
"2006/2007","SO2",2239,"Other Metal Container Manufacturing",77,1881.99
"2006/2007","SO2",2291,"Spring and Wire Product Manufacturing",77,810.7
"2006/2007","SO2",2292,"Nut, Bolt, Screw and Rivet Manufacturing",77,8.37
"2006/2007","SO2",2293,"Metal Coating and Finishing",77,5679.039381583
"2006/2007","SO2",2299,"Other Fabricated Metal Product Manufacturing n.e.c.",77,27.9
"2006/2007","SO2",2311,"Motor Vehicle Manufacturing",77,1510.05
"2006/2007","SO2",2319,"Other Motor Vehicle Parts Manufacturing",77,1073.8109406
"2006/2007","SO2",2391,"Shipbuilding and Repair Services",77,88.7
"2006/2007","SO2",2393,"Railway Rolling Stock Manufacturing and Repair Services",77,245695.92660156
"2006/2007","SO2",2394,"Aircraft Manufacturing and Repair Services",77,22447
"2006/2007","SO2",2439,"Other Electrical Equipment Manufacturing",77,0.32
"2006/2007","SO2",2441,"Whiteware Appliance Manufacturing",77,25.6
"2006/2007","SO2",2611,"Fossil Fuel Electricity Generation",77,593760878.698809
"2006/2007","SO2",2612,"Hydro-Electricity Generation",77,436.281
"2006/2007","SO2",2619,"Other Electricity Generation",77,51094.999972046
"2006/2007","SO2",2700,"Gas Supply",77,3844.00799988555
"2006/2007","SO2",2812,"Sewerage and Drainage Services",77,1184.86
"2006/2007","SO2",2921,"Waste Treatment and Disposal Services",77,41272.015
"2006/2007","SO2",2922,"Waste Remediation and Materials Recovery Services",77,39502520
"2006/2007","SO2",3321,"Petroleum Product Wholesaling",77,3791289.03
"2006/2007","SO2",3323,"Industrial and Agricultural Chemical Product Wholesaling",77,283
"2006/2007","SO2",3331,"Timber Wholesaling",77,19
"2006/2007","SO2",3504,"Motor Vehicle New Parts Wholesaling",77,35
"2006/2007","SO2",4710,"Rail Freight Transport",77,3196
"2006/2007","SO2",5211,"Stevedoring Services",77,89581
"2006/2007","SO2",5212,"Port and Water Transport Terminal Operations",77,552526.11580079
"2006/2007","SO2",5220,"Airport Operations and Other Air Transport Support Services",77,1319
"2006/2007","SO2",5309,"Other Warehousing and Storage Services",77,110
"2006/2007","SO2",6910,"Scientific Research Services",77,37.29999961853
"2006/2007","SO2",7291,"Office Administrative Services",77,617
"2006/2007","SO2",7510,"Central Government Administration",77,11
"2006/2007","SO2",7600,"Defence",77,9.7
"2006/2007","SO2",8102,"Higher Education",77,748689.399999809
"2006/2007","SO2",8401,"Hospitals (Except Psychiatric Hospitals)",77,34374.0643601093
"2006/2007","SO2",9531,"Laundry and Dry-Cleaning Services",77,23152.04
"2007/2008","CO",143,"Beef Cattle Feedlots (Specialised)",20,99128.9403339
"2007/2008","CO",171,"Poultry Farming (Meat)",20,2157.0095
"2007/2008","CO",192,"Pig Farming",20,71435.364477
"2007/2008","CO",600,"Coal Mining",20,32764132.175
"2007/2008","CO",700,"Oil and Gas Extraction",20,19906634.853461
"2007/2008","CO",801,"Iron Ore Mining",20,14448747.9289
"2007/2008","CO",802,"Bauxite Mining",20,9543676.56
"2007/2008","CO",803,"Copper Ore Mining",20,2991173.2233398
"2007/2008","CO",804,"Gold Ore Mining",20,8456391.8258806
"2007/2008","CO",805,"Mineral Sand Mining",20,10007416.79038
"2007/2008","CO",806,"Nickel Ore Mining",20,4001899.7096
"2007/2008","CO",807,"Silver-Lead-Zinc Ore Mining",20,2019373.6046
"2007/2008","CO",809,"Other Metal Ore Mining",20,1158422.3038031
"2007/2008","CO",911,"Gravel and Sand Quarrying",20,768314.862
"2007/2008","CO",919,"Other Construction Material Mining",20,320977.52
"2007/2008","CO",990,"Other Non-Metallic Mineral Mining and Quarrying",20,1284317.261555
"2007/2008","CO",1011,"Petroleum Exploration",20,70246.8214014
"2007/2008","CO",1012,"Mineral Exploration",20,27310.81
"2007/2008","CO",1111,"Meat Processing",20,612943.33228228
"2007/2008","CO",1112,"Poultry Processing",20,120517.67140514
"2007/2008","CO",1113,"Cured Meat and Smallgoods Manufacturing",20,21500.88
"2007/2008","CO",1131,"Milk and Cream Processing",20,404748.2000657
"2007/2008","CO",1132,"Ice Cream Manufacturing",20,5074.1406
"2007/2008","CO",1133,"Cheese and Other Dairy Product Manufacturing",20,274468.57266693
"2007/2008","CO",1140,"Fruit and Vegetable Processing",20,202809.71052
"2007/2008","CO",1150,"Oil and Fat Manufacturing",20,154986.23099
"2007/2008","CO",1161,"Grain Mill Product Manufacturing",20,152779.5381
"2007/2008","CO",1162,"Cereal, Pasta and Baking Mix Manufacturing",20,45186.197287975
"2007/2008","CO",1171,"Bread Manufacturing (Factory based)",20,24806.26
"2007/2008","CO",1172,"Cake and Pastry Manufacturing (Factory based)",20,599.05
"2007/2008","CO",1173,"Biscuit Manufacturing (Factory based)",20,12380.6
"2007/2008","CO",1181,"Sugar Manufacturing",20,27691442.517276
"2007/2008","CO",1182,"Confectionery Manufacturing",20,42142.920238
"2007/2008","CO",1191,"Potato, Corn and Other Crisp Manufacturing",20,9406.215
"2007/2008","CO",1192,"Prepared Animal and Bird Feed Manufacturing",20,83736.77193
"2007/2008","CO",1199,"Other Food Product Manufacturing n.e.c.",20,2251575.6352589
"2007/2008","CO",1211,"Soft Drink, Cordial and Syrup Manufacturing",20,183762.2137
"2007/2008","CO",1212,"Beer Manufacturing",20,176800.9232
"2007/2008","CO",1213,"Spirit Manufacturing",20,25885.6494
"2007/2008","CO",1214,"Wine and Other Alcoholic Beverage Manufacturing",20,114418.4338
"2007/2008","CO",1220,"Cigarette and Tobacco Product Manufacturing",20,12417
"2007/2008","CO",1311,"Wool Scouring",20,19012.8905
"2007/2008","CO",1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",20,939.16
"2007/2008","CO",1331,"Textile Floor Covering Manufacturing",20,19054.28505
"2007/2008","CO",1333,"Cut and Sewn Textile Product Manufacturing",20,5557.40388
"2007/2008","CO",1334,"Textile Finishing and Other Textile Product Manufacturing",20,48100.134688
"2007/2008","CO",1351,"Clothing Manufacturing",20,1244
"2007/2008","CO",1411,"Log Sawmilling",20,3102176.8578259
"2007/2008","CO",1413,"Timber Resawing and Dressing",20,1116993.1085
"2007/2008","CO",1493,"Veneer and Plywood Manufacturing",20,438596.0549
"2007/2008","CO",1494,"Reconstituted Wood Product Manufacturing",20,1429690.476848
"2007/2008","CO",1499,"Other Wood Product Manufacturing n.e.c.",20,521130.847502
"2007/2008","CO",1510,"Pulp, Paper and Paperboard Manufacturing",20,1765797.8440195
"2007/2008","CO",1521,"Corrugated Paperboard and Paperboard Container Manufacturing",20,220931.22797
"2007/2008","CO",1529,"Other Converted Paper Product Manufacturing",20,47471
"2007/2008","CO",1611,"Printing",20,76480.626
"2007/2008","CO",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",20,10633006.54
"2007/2008","CO",1709,"Other Petroleum and Coal Product Manufacturing",20,911802.78489
"2007/2008","CO",1811,"Industrial Gas Manufacturing",20,46087.555
"2007/2008","CO",1812,"Basic Organic Chemical Manufacturing",20,1728171.24732
"2007/2008","CO",1813,"Basic Inorganic Chemical Manufacturing",20,15204335.6549
"2007/2008","CO",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",20,181570.249845
"2007/2008","CO",1829,"Other Basic Polymer Manufacturing",20,2000
"2007/2008","CO",1831,"Fertiliser Manufacturing",20,657933.5298
"2007/2008","CO",1832,"Pesticide Manufacturing",20,9810
"2007/2008","CO",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",20,23268.76098895
"2007/2008","CO",1851,"Cleaning Compound Manufacturing",20,6072.47215
"2007/2008","CO",1852,"Cosmetic and Toiletry Preparation Manufacturing",20,2931.96
"2007/2008","CO",1892,"Explosive Manufacturing",20,175557.2
"2007/2008","CO",1899,"Other Basic Chemical Product Manufacturing n.e.c.",20,7107.5
"2007/2008","CO",1911,"Polymer Film and Sheet Packaging Material Manufacturing",20,11896.4528
"2007/2008","CO",1912,"Rigid and Semi-Rigid Polymer Product Manufacturing",20,6673.3726255
"2007/2008","CO",1913,"Polymer Foam Product Manufacturing",20,14516.04015
"2007/2008","CO",1914,"Tyre Manufacturing",20,44979.18305
"2007/2008","CO",1915,"Adhesive Manufacturing",20,6476
"2007/2008","CO",1916,"Paint and Coatings Manufacturing",20,32530
"2007/2008","CO",1919,"Other Polymer Product Manufacturing",20,32802.5093
"2007/2008","CO",1920,"Natural Rubber Product Manufacturing",20,11435.28
"2007/2008","CO",2010,"Glass and Glass Product Manufacturing",20,653620.67
"2007/2008","CO",2021,"Clay Brick Manufacturing",20,4895748.2168
"2007/2008","CO",2029,"Other Ceramic Product Manufacturing",20,175401.631
"2007/2008","CO",2031,"Cement and Lime Manufacturing",20,7749183.814
"2007/2008","CO",2032,"Plaster Product Manufacturing",20,972370.76
"2007/2008","CO",2033,"Ready-Mixed Concrete Manufacturing",20,7963
"2007/2008","CO",2034,"Concrete Product Manufacturing",20,123143.8414288
"2007/2008","CO",2090,"Other Non-Metallic Mineral Product Manufacturing",20,1445239.3678612
"2007/2008","CO",2110,"Iron Smelting and Steel Manufacturing",20,583831397.8
"2007/2008","CO",2121,"Iron and Steel Casting",20,6173780.259
"2007/2008","CO",2122,"Steel Pipe and Tube Manufacturing",20,9914.077
"2007/2008","CO",2131,"Alumina Production",20,4658467
"2007/2008","CO",2132,"Aluminium Smelting",20,191842907.5
"2007/2008","CO",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",20,42152857.8313
"2007/2008","CO",2139,"Other Basic Non-Ferrous Metal Manufacturing",20,1233308.03925
"2007/2008","CO",2141,"Non-Ferrous Metal Casting",20,16602.160818
"2007/2008","CO",2142,"Aluminium Rolling, Drawing, Extruding",20,790279.43045
"2007/2008","CO",2229,"Other Structural Metal Product Manufacturing",20,50100
"2007/2008","CO",2239,"Other Metal Container Manufacturing",20,45847.393
"2007/2008","CO",2291,"Spring and Wire Product Manufacturing",20,35737.8
"2007/2008","CO",2292,"Nut, Bolt, Screw and Rivet Manufacturing",20,2072.948
"2007/2008","CO",2293,"Metal Coating and Finishing",20,1225934.87745
"2007/2008","CO",2299,"Other Fabricated Metal Product Manufacturing n.e.c.",20,6739
"2007/2008","CO",2311,"Motor Vehicle Manufacturing",20,436516.37
"2007/2008","CO",2319,"Other Motor Vehicle Parts Manufacturing",20,141999.812053
"2007/2008","CO",2393,"Railway Rolling Stock Manufacturing and Repair Services",20,1000142.53
"2007/2008","CO",2394,"Aircraft Manufacturing and Repair Services",20,210963.388846
"2007/2008","CO",2431,"Electric Cable and Wire Manufacturing",20,936.89
"2007/2008","CO",2439,"Other Electrical Equipment Manufacturing",20,5521
"2007/2008","CO",2441,"Whiteware Appliance Manufacturing",20,7315.0944
"2007/2008","CO",2611,"Fossil Fuel Electricity Generation",20,68972330.7722202
"2007/2008","CO",2612,"Hydro-Electricity Generation",20,2808.96301
"2007/2008","CO",2619,"Other Electricity Generation",20,3924154.0517
"2007/2008","CO",2700,"Gas Supply",20,1018887.8952361
"2007/2008","CO",2812,"Sewerage and Drainage Services",20,804357.21104
"2007/2008","CO",2921,"Waste Treatment and Disposal Services",20,802661.37403892
"2007/2008","CO",2922,"Waste Remediation and Materials Recovery Services",20,79249
"2007/2008","CO",3321,"Petroleum Product Wholesaling",20,820911.3232
"2007/2008","CO",3323,"Industrial and Agricultural Chemical Product Wholesaling",20,10808.02779
"2007/2008","CO",3504,"Motor Vehicle New Parts Wholesaling",20,13494.26
"2007/2008","CO",4710,"Rail Freight Transport",20,194392.13
"2007/2008","CO",5211,"Stevedoring Services",20,40412.748
"2007/2008","CO",5212,"Port and Water Transport Terminal Operations",20,1172707.80267
"2007/2008","CO",5220,"Airport Operations and Other Air Transport Support Services",20,21513.64025
"2007/2008","CO",6910,"Scientific Research Services",20,6092.78685
"2007/2008","CO",7291,"Office Administrative Services",20,409565.4
"2007/2008","CO",7510,"Central Government Administration",20,1679.56425
"2007/2008","CO",7600,"Defence",20,3009.74
"2007/2008","CO",8102,"Higher Education",20,12712.8344185
"2007/2008","CO",8401,"Hospitals (Except Psychiatric Hospitals)",20,129843.63504525
"2007/2008","CO",9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",20,2387
"2007/2008","CO",9531,"Laundry and Dry-Cleaning Services",20,28990.84066115
"2007/2008","NH3",143,"Beef Cattle Feedlots (Specialised)",8,31832432.34
"2007/2008","NH3",160,"Dairy Cattle Farming",8,12863
"2007/2008","NH3",171,"Poultry Farming (Meat)",8,6462929.798
"2007/2008","NH3",172,"Poultry Farming (Eggs)",8,2274210.7
"2007/2008","NH3",192,"Pig Farming",8,8644041.32054
"2007/2008","NH3",600,"Coal Mining",8,8.493
"2007/2008","NH3",802,"Bauxite Mining",8,10454.4
"2007/2008","NH3",803,"Copper Ore Mining",8,18
"2007/2008","NH3",805,"Mineral Sand Mining",8,255184
"2007/2008","NH3",806,"Nickel Ore Mining",8,195987.415
"2007/2008","NH3",1111,"Meat Processing",8,NA
"2007/2008","NH3",1112,"Poultry Processing",8,2212761.42
"2007/2008","NH3",1113,"Cured Meat and Smallgoods Manufacturing",8,1238
"2007/2008","NH3",1131,"Milk and Cream Processing",8,8070.6
"2007/2008","NH3",1132,"Ice Cream Manufacturing",8,4000
"2007/2008","NH3",1133,"Cheese and Other Dairy Product Manufacturing",8,2080.1
"2007/2008","NH3",1161,"Grain Mill Product Manufacturing",8,NA
"2007/2008","NH3",1199,"Other Food Product Manufacturing n.e.c.",8,NA
"2007/2008","NH3",1211,"Soft Drink, Cordial and Syrup Manufacturing",8,NA
"2007/2008","NH3",1212,"Beer Manufacturing",8,47540
"2007/2008","NH3",1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",8,NA
"2007/2008","NH3",1334,"Textile Finishing and Other Textile Product Manufacturing",8,2907
"2007/2008","NH3",1510,"Pulp, Paper and Paperboard Manufacturing",8,NA
"2007/2008","NH3",1701,"Petroleum Refining and Petroleum Fuel Manufacturing",8,NA
"2007/2008","NH3",1709,"Other Petroleum and Coal Product Manufacturing",8,5339
"2007/2008","NH3",1812,"Basic Organic Chemical Manufacturing",8,165.1187
"2007/2008","NH3",1813,"Basic Inorganic Chemical Manufacturing",8,1523380.964
"2007/2008","NH3",1821,"Synthetic Resin and Synthetic Rubber Manufacturing",8,200
"2007/2008","NH3",1829,"Other Basic Polymer Manufacturing",8,9704.9
"2007/2008","NH3",1831,"Fertiliser Manufacturing",8,460953.66
"2007/2008","NH3",1832,"Pesticide Manufacturing",8,3.7
"2007/2008","NH3",1841,"Human Pharmaceutical and Medicinal Product Manufacturing",8,80.7
"2007/2008","NH3",1892,"Explosive Manufacturing",8,NA
"2007/2008","NH3",1899,"Other Basic Chemical Product Manufacturing n.e.c.",8,NA
"2007/2008","NH3",1916,"Paint and Coatings Manufacturing",8,2069.27
"2007/2008","NH3",2010,"Glass and Glass Product Manufacturing",8,56617
"2007/2008","NH3",2031,"Cement and Lime Manufacturing",8,20797
"2007/2008","NH3",2032,"Plaster Product Manufacturing",8,2548
"2007/2008","NH3",2090,"Other Non-Metallic Mineral Product Manufacturing",8,35446.66
"2007/2008","NH3",2110,"Iron Smelting and Steel Manufacturing",8,340403
"2007/2008","NH3",2121,"Iron and Steel Casting",8,1709.658
"2007/2008","NH3",2122,"Steel Pipe and Tube Manufacturing",8,12
"2007/2008","NH3",2131,"Alumina Production",8,123430
"2007/2008","NH3",2132,"Aluminium Smelting",8,8651
"2007/2008","NH3",2133,"Copper, Silver, Lead and Zinc Smelting and Refining",8,NA
"2007/2008","NH3",2139,"Other Basic Non-Ferrous Metal Manufacturing",8,2079529
"2007/2008","NH3",2319,"Other Motor Vehicle Parts Manufacturing",8,712.2
"2007/2008","NH3",2439,"Other Electrical Equipment Manufacturing",8,1399.5
"2007/2008","NH3",2611,"Fossil Fuel Electricity Generation",8,111372.52171
"2007/2008","NH3",2811,"Water Supply",8,NA
"2007/2008","NH3",2812,"Sewerage and Drainage Services",8,NA
"2007/2008","NH3",2921,"Waste Treatment and Disposal Services",8,NA
"2007/2008","NH3",3321,"Petroleum Product Wholesaling",8,12394
"2007/2008","NH3",5301,"Grain Storage Services",8,11.7133404
"2007/2008","NH3",5309,"Other Warehousing and Storage Services",8,28.217936
"2007/2008","NMVOC",143,"Beef Cattle Feedlots (Specialised)",85,23216.707317357
"2007/2008","NMVOC",171,"Poultry Farming (Meat)",85,517.75076
"2007/2008","NMVOC",172,"Poultry Farming (Eggs)",85,2.56
"2007/2008","NMVOC",192,"Pig Farming",85,21884.1822226
"2007/2008","NMVOC",600,"Coal Mining",85,5723246.528
"2007/2008","NMVOC",700,"Oil and Gas Extraction",85,31714837.2911324
"2007/2008","NMVOC",801,"Iron Ore Mining",85,858662.1782115
"2007/2008","NMVOC",802,"Bauxite Mining",85,1231622.21
"2007/2008","NMVOC",803,"Copper Ore Mining",85,563206.22155949
"2007/2008","NMVOC",804,"Gold Ore Mining",85,1240787.59558947
"2007/2008","NMVOC",805,"Mineral Sand Mining",85,535185.5391089
"2007/2008","NMVOC",806,"Nickel Ore Mining",85,611896.2405352
"2007/2008","NMVOC",807,"Silver-Lead-Zinc Ore Mining",85,217253.3147
"2007/2008","NMVOC",809,"Other Metal Ore Mining",85,216502.239001937
"2007/2008","NMVOC",911,"Gravel and Sand Quarrying",85,155689.1836
"2007/2008","NMVOC",919,"Other Construction Material Mining",85,60008.045
"2007/2008","NMVOC",990,"Other Non-Metallic Mineral Mining and Quarrying",85,242336.343323
"2007/2008","NMVOC",1011,"Petroleum Exploration",85,41905.6516247
"2007/2008","NMVOC",1012,"Mineral Exploration",85,3414.248668
"2007/2008","NMVOC",1090,"Other Mining Support Services",85,2111.11
"2007/2008","NMVOC",1111,"Meat Processing",85,37454.89657402
"2007/2008","NMVOC",1112,"Poultry Processing",85,8964.262945286
"2007/2008","NMVOC",1113,"Cured Meat and Smallgoods Manufacturing",85,12917.566
"2007/2008","NMVOC",1131,"Milk and Cream Processing",85,34024.7413237811
"2007/2008","NMVOC",1132,"Ice Cream Manufacturing",85,253.55427
"2007/2008","NMVOC",1133,"Cheese and Other Dairy Product Manufacturing",85,26894.424284935
"2007/2008","NMVOC",1140,"Fruit and Vegetable Processing",85,9187.0990675
"2007/2008","NMVOC",1150,"Oil and Fat Manufacturing",85,17799.7053525
"2007/2008","NMVOC",1161,"Grain Mill Product Manufacturing",85,442095.037145
"2007/2008","NMVOC",1162,"Cereal, Pasta and Baking Mix Manufacturing",85,4601.66600907
"2007/2008","NMVOC",1171,"Bread Manufacturing (Factory based)",85,439856.065
"2007/2008","NMVOC",1172,"Cake and Pastry Manufacturing (Factory based)",85,119.98
"2007/2008","NMVOC",1173,"Biscuit Manufacturing (Factory based)",85,812.2
"2007/2008","NMVOC",1181,"Sugar Manufacturing",85,360566.3129
"2007/2008","NMVOC",1182,"Confectionery Manufacturing",85,4673.09771675
"2007/2008","NMVOC",1191,"Potato, Corn and Other Crisp Manufacturing",85,1002.4038
"2007/2008","NMVOC",1192,"Prepared Animal and Bird Feed Manufacturing",85,12131.1034965
"2007/2008","NMVOC",1199,"Other Food Product Manufacturing n.e.c.",85,295712.51003753
"2007/2008","NMVOC",1211,"Soft Drink, Cordial and Syrup Manufacturing",85,3927.653265
"2007/2008","NMVOC",1212,"Beer Manufacturing",85,120283.95500224
"2007/2008","NMVOC",1213,"Spirit Manufacturing",85,399206.35
"2007/2008","NMVOC",1214,"Wine and Other Alcoholic Beverage Manufacturing",85,617437.904095524
"2007/2008","NMVOC",1220,"Cigarette and Tobacco Product Manufacturing",85,1028.8
